id,word ,tran 
161,The bridge is reflected in the water,Cây cầu được phản chiếu dưới dòng nước
162,One woman is looking at her reflection,Một người phụ nữ đang nhìn hình bóng của mình
163,address (v),"nói chuyện, phát biểu"
164, address (n) ,"bài nói, diễn văn"
165,He's addressing his colleagues,Anh ấy đang phát biểu với các đồng nghiệp của mình
166,plant (v),"trồng, gieo"
167,plant (n) ,"thực vật, cây xanh"
168,Small trees have been planted in individual pots,Cây nhỏ đã được trồng thành từng chậu riêng biệt
169,The women are watering the plants,Những người phụ nữ đang tưới cây
170,potted plant,cây được trồng trong chậu
171,file (v),sắp xếp (giấy tờ)
172,file (n),"hồ sơ, tài liệu"
173,The man is filing some documents.,Người đàn ông đang sắp xếp một số tài liệu.
174,file/filing cabinet,tủ đựng hồ sơ
175,file folder,bìa hồ sơ
176,operate (v),"vận hành, điều khiển"
177,operation (n),sự hoạt động 
178,operational (a),sẵn sàng hoạt động
179,He's operating some factory machinery,Anh ấy đang vận hành một số máy móc tại nhà máy.
180,stack = pile ,"(n): đống, chồng"
181,He's standing by two stacks of plates,Anh ấy đang đứng bên hai chồng đĩa
182,clap = applaud,(v): vỗ tay
183,He's stacking up some bricks,Anh ấy đang xếp chồng một số viên gạch
184,An audience is clapping for some musicians,Khán giả đang vỗ tay cho một số nhạc sĩ
185,kneel (v),quỳ gối
186,The woman is kneeling in the garden.,Người phụ nữ đang quỳ gối trong khu vườn
187,They're turning off the lights,Họ đang tắt đèn
188,turn on (phr.v),bật
189,turn off,tắt
190,They're turning on the lights,Họ đang bật đèn
191, stroll (v),đi dạo
192,Pedestrians are strolling beside a riverbank,Người đi bộ đang đi dạo bên bờ sông
193,stroll = take a walk,đi dạo
194,pile  (v),"chất đống, xếp chồng"
195,pile (n),"chồng, đống"
196,Dishes have been piled in a drying rack,Những chiếc đĩa đã được xếp vào giá sấy khô
197,a pile of wood,một đống gỗ
198,in a pile,thành một đống
199,store (v),"tích trữ, cất giữ"
200,store (n) ,"cửa hàng, đồ dự trữ"
201,Some men are storing luggage above their seats,Vài người đàn ông đang cất hành lí phía trên chỗ ngồi.
202,pick up (phr.v),lấy lại
203,He's picking up his briefcase,Anh ấy đang lấy lại cặp da của mình.
204,pick up (phr.v),"nhặt, hái, lấy"
205,He's picking up some flowers,Anh ấy đang hái vài bông hoa
206, serve (v),phục vụ
207,Waiters are serving beverages to the customers,Những anh bồi bàn đang phục vụ đồ uống cho thực khách
208,board (v),"lên, đáp (tàu thuyền, máy bay, xe buýt)"
209,Passengers are boarding a bus,Hành khách đang lên xe buýt
210,board (n),"tấm ván, bảng"
211,Some boards have been piled on a deck,Một số tấm ván đã được xếp chồng lên trên boong tàu
212,frame (v),dựng khung
213,frame (n),"khung (ảnh, tranh, ...)"
214,She's framing a piece of art,Cô ấy đang dựng khung một tác phẩm nghệ thuật
215,framed picture,tranh/ảnh được đóng khung
216,picture frame,khung tranh/ảnh
217,relax (v),nghỉ ngơi
218,They're relaxing on the lawn,Họ đang nghỉ ngơi trên bãi cỏ
219,building frame,khung nhà
220,building frame,khung nhà
