id,word ,tran 
190,wonder ,"(v): tự hỏi, thắc mắc "
191,"I wonder who will be hired as an assistant manager,  
 don't you?  ","Tôi tự hỏi ai sẽ được thuê làm trợ lý giám đốc, có phải  
 bạn không?"
192, wonder about,thắc mắc về 
193, wonder if, tự hỏi rằng
194,mail  ,thư từ
195,mailing,việc gửi thư
196,e-mail,"(n,v): (gửi) thư điện tử "
197,be supposed to ,được cho là
198,suppose ,"cho là, nghĩ rằng"
199, There's some mail for you. ,Có vài bức thư cho bạn.
200,Aren't we supposed to have a meeting this afternoon?,Chẳng phải chúng ta được cho là sẽ có cuộc họp trưa   nay sao?
201,I'll mail it in the morning.,Tôi sẽ gửi thư vào buổi sáng.
202,express mail,thư chuyển phát nhanh 
203,overnight mail,thư gửi qua đêm 
204,outgoing mail,thư đi
205,mailing list,danh sách gửi thư 
